Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,Kansas,9,620,21657,11939,2762,1441,0.45,0.356,0.722,34.9,19.3,4.5,2.3,26,0.058,-1.4,3.3
2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5
3,3,PHI,Joel Embiid,Kansas,7,347,10915,9167,3916,1169,0.493,0.337,0.813,31.5,26.4,11.3,3.4,47.1,0.207,6.1,22.2
4,4,ORL,Aaron Gordon,Arizona,9,552,15985,7293,3464,1365,0.467,0.325,0.7,29,13.2,6.3,2.5,31.4,0.094,0,8.1
5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5
6,6,BOS,Marcus Smart,Oklahoma State,9,546,16348,5742,1950,2506,0.385,0.323,0.779,29.9,10.5,3.6,4.6,31.4,0.092,-0.2,7.4
7,7,LAL,Julius Randle,Kentucky,9,546,17084,9823,5062,1942,0.471,0.333,0.746,31.3,18,9.3,3.6,34.2,0.096,0.5,10.9
8,8,SAC,Nik Stauskas,Michigan,6,343,6701,2290,691,515,0.389,0.354,0.812,19.5,6.7,2,1.5,3.9,0.028,-3,-1.7
9,9,CHH,Noah Vonleh,Indiana,8,358,5842,1685,1788,263,0.459,0.307,0.692,16.3,4.7,5,0.7,9.4,0.077,-2.5,-0.7
10,10,PHI,Elfrid Payton,Louisiana,8,500,13383,5036,2007,2868,0.447,0.287,0.623,26.8,10.1,4,5.7,15.8,0.057,-0.9,3.7
11,11,DEN,Doug McDermott,Creighton,9,551,11512,5097,1282,533,0.477,0.41,0.815,20.9,9.3,2.3,1,19.7,0.082,-1.9,0.3
12,12,ORL,Dario Saric,,6,370,9133,4233,2134,714,0.44,0.357,0.838,24.7,11.4,5.8,1.9,16.6,0.087,-0.9,2.5
13,13,MIN,Zach LaVine,UCLA,9,501,16012,9971,1981,1954,0.459,0.384,0.83,32,19.9,4,3.9,24.8,0.074,0.4,9.8
14,14,PHO,T.J. Warren,NC State,8,337,9638,5182,1384,406,0.507,0.356,0.779,28.6,15.4,4.1,1.2,19.9,0.099,-0.2,4.3
15,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4
16,16,CHI,Jusuf Nurkic,,9,436,10551,5377,3770,976,0.502,0.271,0.674,24.2,12.3,8.6,2.2,25.4,0.116,0.5,6.6
17,17,BOS,James Young,Kentucky,4,95,812,219,96,28,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3
18,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8
19,19,CHI,Gary Harris,Michigan State,9,474,13628,5588,1178,977,0.448,0.363,0.814,28.8,11.8,2.5,2.1,21,0.074,-1.4,2.1
20,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,0.403,0.308,0.836,12.3,4.2,2.6,0.7,1.5,0.054,-2.7,-0.2
