Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,Kentucky,11,628,21623,15065,6461,1478,0.518,0.303,0.795,34.4,24,10.3,2.4,96.3,0.214,6.1,44.3
2,2,CHA,Michael Kidd-Gilchrist,Kentucky,8,446,10978,3750,2420,515,0.474,0.272,0.715,24.6,8.4,5.4,1.2,21,0.092,-1.8,0.6
3,3,WAS,Bradley Beal,Florida,11,663,23049,14643,2708,2798,0.458,0.372,0.822,34.8,22.1,4.1,4.2,50.4,0.105,1.8,21.7
4,4,CLE,Dion Waiters,Syracuse,8,419,11835,5505,1108,1163,0.412,0.346,0.694,28.2,13.1,2.6,2.8,8.8,0.036,-2.1,-0.4
5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,13.4,4.9,4.8,0.6,4.6,0.053,-3.5,-1.6
6,6,POR,Damian Lillard,Weber State,11,727,26398,17971,3041,4840,0.438,0.373,0.893,36.3,24.7,4.2,6.7,96.4,0.175,4.7,44.9
7,7,GSW,Harrison Barnes,UNC,11,774,24608,10935,3961,1427,0.454,0.376,0.805,31.8,14.1,5.1,1.8,47,0.092,-0.8,7.4
8,8,TOR,Terrence Ross,Washington,11,696,17243,7742,1963,873,0.417,0.362,0.837,24.8,11.1,2.8,1.3,23.5,0.065,-1,4.3
9,9,DET,Andre Drummond,UConn,11,739,21565,10078,9671,1021,0.54,0.129,0.474,29.2,13.6,13.1,1.4,68.6,0.153,1.3,17.8
10,10,NOH,Austin Rivers,Duke,11,673,16114,5794,1379,1457,0.417,0.347,0.653,23.9,8.6,2,2.2,13.9,0.041,-3.1,-4.5
11,11,POR,Meyers Leonard,Illinois,9,447,7158,2502,1737,395,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1.1
