Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons,LSU,5,294,9846,4540,2344,2238,0.561,0.143,0.596,33.5,15.4,8,7.6,31.7,0.155,3.6,13.9
2,2,LAL,Brandon Ingram,Duke,7,383,12561,7124,1972,1482,0.461,0.365,0.773,32.8,18.6,5.1,3.9,20,0.076,-0.2,5.7
3,3,BOS,Jaylen Brown,California,7,430,12522,7361,2192,919,0.476,0.37,0.722,29.1,17.1,5.1,2.1,27,0.103,0.2,7.1
4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9
5,5,MIN,Kris Dunn,Providence,6,245,5897,1995,815,1029,0.42,0.299,0.739,24.1,8.1,3.3,4.2,3.9,0.031,-2.1,-0.2
6,6,NOP,Buddy Hield,Oklahoma,7,497,14610,7975,2143,1254,0.43,0.397,0.864,29.4,16,4.3,2.5,18.2,0.06,0.1,7.8
7,7,DEN,Jamal Murray,Kentucky,6,368,11083,6047,1344,1440,0.445,0.366,0.872,30.1,16.4,3.7,3.9,21.9,0.095,0.2,6.2
8,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5
9,9,TOR,Jakob Poeltl,Utah,7,436,8954,3292,2721,670,0.629,0.667,0.518,20.5,7.6,6.2,1.5,30.3,0.162,1.1,6.8
10,10,MIL,Thon Maker,,5,263,3624,1216,726,161,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1
11,11,ORL,Domantas Sabonis,Gonzaga,7,442,12694,6433,4128,1666,0.539,0.322,0.729,28.7,14.6,9.3,3.8,39,0.147,2.1,13
12,12,UTA,Taurean Prince,Baylor,7,388,9288,4041,1487,668,0.418,0.371,0.816,23.9,10.4,3.8,1.7,8.7,0.045,-1.8,0.4
13,13,PHO,Georgios Papagiannis,,2,39,477,160,123,29,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2
14,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2
15,15,DEN,Juancho Hernangomez,,7,314,4950,1665,1078,205,0.432,0.349,0.675,15.8,5.3,3.4,0.7,8.6,0.083,-1.7,0.3
16,16,BOS,Guerschon Yabusele,,2,74,486,173,105,31,0.442,0.323,0.682,6.6,2.3,1.4,0.4,1.1,0.105,-1.9,0
17,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5
18,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3
19,19,DEN,Malik Beasley,Florida State,7,366,7851,3914,939,467,0.429,0.387,0.817,21.5,10.7,2.6,1.3,11.9,0.073,-0.8,2.5
20,20,IND,Caris LeVert,Michigan,7,343,9535,4958,1322,1367,0.434,0.334,0.74,27.8,14.5,3.9,4,13.2,0.066,-0.6,3.3
21,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4
22,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7
23,23,BOS,Ante Zizic,,3,113,1517,674,446,64,0.581,,0.711,13.4,6,3.9,0.6,3.5,0.11,-2.6,-0.2
24,24,PHI,Timothe Luwawu-Cabarrot,,6,328,5254,1937,656,293,0.391,0.335,0.829,16,5.9,2,0.9,4.7,0.043,-4,-2.7
25,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0
26,26,PHI,Furkan Korkmaz,,6,272,4994,2092,597,359,0.404,0.354,0.765,18.4,7.7,2.2,1.3,7.2,0.069,-1.9,0.2
27,27,TOR,Pascal Siakam,New Mexico State,7,418,12417,6732,2675,1367,0.489,0.328,0.772,29.7,16.1,6.4,3.3,35.7,0.138,2,12.4
28,28,PHO,Skal Labissiere,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2
29,29,SAS,Dejounte Murray,Washington,6,345,9147,4512,2056,1696,0.455,0.336,0.777,26.5,13.1,6,4.9,18.2,0.095,1.9,8.9
30,30,GSW,Damian Jones,Vanderbilt,7,212,3154,1156,725,167,0.66,0.295,0.705,14.9,5.5,3.4,0.8,9.5,0.145,-1,0.8
31,31,BOS,Deyonta Davis,Michigan State,3,107,1299,454,346,47,0.599,0,0.635,12.1,4.2,3.2,0.4,3.6,0.131,-2.1,0
32,32,LAL,Ivica Zubac,,7,390,7732,3303,2674,443,0.599,0.091,0.745,19.8,8.5,6.9,1.1,28.6,0.177,0.4,4.7
33,33,LAC,Cheick Diallo,Kansas,5,183,2186,958,759,78,0.596,0.286,0.774,11.9,5.2,4.1,0.4,6.3,0.139,-1.4,0.3
34,34,PHO,Tyler Ulis,Kentucky,3,133,2782,998,223,537,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1
35,35,BOS,Rade Zagorac,,,,,,,,,,,,,,,,,,
36,36,MIL,Malcolm Brogdon,Virginia,7,357,10611,5492,1495,1691,0.465,0.383,0.881,29.7,15.4,4.2,4.7,26.1,0.118,1.2,8.6
37,37,HOU,Chinanu Onuaku,Louisville,2,6,74,18,14,4,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1
38,38,MIL,Patrick McCaw,UNLV,5,199,3373,760,319,270,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6
39,39,NOP,David Michineau,,,,,,,,,,,,,,,,,,
40,40,NOP,Diamond Stone,Maryland,1,7,24,10,6,0,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1
41,41,ORL,Stephen Zimmerman,UNLV,1,19,108,23,35,4,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2
42,42,UTA,Isaiah Whitehead,Seton Hall,2,89,1823,643,210,212,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4
43,43,HOU,Zhou Qi,,2,19,125,24,22,2,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2
44,44,ATL,Isaia Cordinier,,,,,,,,,,,,,,,,,,
45,45,BOS,Demetrius Jackson,Notre Dame,3,26,136,48,19,17,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1
46,46,DAL,A.J. Hammons,Purdue,1,22,163,48,36,4,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2
47,47,ORL,Jake Layman,Maryland,6,243,3099,1175,417,127,0.46,0.3,0.719,12.8,4.8,1.7,0.5,3.8,0.059,-2.3,-0.2
48,48,CHI,Paul Zipser,,2,98,1667,458,256,82,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4
49,49,DET,Michael Gbinije,Syracuse,1,9,32,4,3,2,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1
50,50,IND,Georges Niang,Iowa State,7,330,4946,2094,675,278,0.44,0.408,0.872,15,6.3,2,0.8,9.3,0.09,-0.9,1.3
51,51,BOS,Ben Bentil,Providence,1,3,10,0,2,0,0,0,,3.3,0,0.7,0,-0.1,-0.473,-25.9,-0.1
52,52,UTA,Joel Bolomboy,Weber State,2,18,91,31,27,2,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-0.1,0
53,53,DEN,Petr Cornelie,,1,13,38,14,14,3,0.333,0.125,0.75,2.9,1.1,1.1,0.2,0,-0.015,-8.8,-0.1
54,54,ATL,Kay Felder,Oakland,2,58,526,223,59,78,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4
55,55,BRK,Marcus Paige,UNC,1,5,28,12,4,3,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-8.8,0
56,56,DEN,Daniel Hamilton,UConn,2,25,232,69,52,30,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-3.3,-0.1
57,57,MEM,Wang Zhelin,,,,,,,,,,,,,,,,,,
58,58,BOS,Abdel Nader,Iowa State,5,202,2583,926,376,110,0.428,0.357,0.718,12.8,4.6,1.9,0.5,2.8,0.052,-2.6,-0.4
59,59,SAC,Isaiah Cousins,Oklahoma,,,,,,,,,,,,,,,,,
60,60,UTA,Tyrone Wallace,California,4,112,1714,566,236,127,0.422,0.207,0.656,15.3,5.1,2.1,1.1,0.1,0.003,-5.2,-1.4
