Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
42,42,DET,Bruce Brown,Miami (FL),5,296,7112,2353,1273,688,0.482,0.341,0.752,24,7.9,4.3,2.3,14.2,0.096,-0.9,2
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,5,232,4296,1905,883,250,0.476,0.271,0.634,18.5,8.2,3.8,1.1,5.2,0.058,-2.4,-0.5
46,46,HOU,De'Anthony Melton,USC,5,259,5559,2253,949,738,0.411,0.366,0.759,21.5,8.7,3.7,2.8,9.1,0.079,0.7,3.8
47,47,LAL,Svi Mykhailiuk,Kansas,5,229,3774,1467,401,298,0.399,0.356,0.778,16.5,6.4,1.8,1.3,2.6,0.033,-2.7,-0.6
48,48,MIN,Keita Bates-Diop,Ohio State,5,186,2870,1040,559,116,0.474,0.313,0.726,15.4,5.6,3,0.6,4.2,0.069,-2.3,-0.2
49,49,SAS,Chimezie Metu,USC,5,166,2288,994,590,127,0.478,0.302,0.766,13.8,6,3.6,0.8,2.8,0.059,-2,0
50,50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,0.481,0.227,0.711,7.5,2.5,3,0.4,1.3,0.108,-2.4,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,5,201,4276,1997,487,535,0.456,0.363,0.825,21.3,9.9,2.4,2.7,8.2,0.092,-1.7,0.3
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,0,0,,2.5,0,0,0,0,-0.217,-21.8,0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.225,-17.2,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2
