Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,5,262,7997,4285,2732,436,0.601,0.257,0.75,30.5,16.4,10.4,1.7,27.3,0.164,1.2,6.5
2,2,SAC,Marvin Bagley III,Duke,5,183,4547,2443,1328,161,0.504,0.293,0.668,24.8,13.3,7.3,0.9,8.2,0.086,-2,0
3,3,ATL,Luka Doncic,,5,290,9888,7819,2475,2327,0.461,0.337,0.736,34.1,27,8.5,8,33.9,0.164,7.2,22.8
4,4,MEM,Jaren Jackson Jr.,Michigan State,5,215,5810,3420,1118,244,0.456,0.352,0.789,27,15.9,5.2,1.1,14.1,0.116,0.3,3.3
5,5,DAL,Trae Young,Oklahoma,5,306,10330,7773,1158,2801,0.437,0.349,0.875,33.8,25.4,3.8,9.2,28.3,0.131,3,12.9
6,6,ORL,Mo Bamba,Texas,5,249,4624,1942,1491,226,0.477,0.356,0.686,18.6,7.8,6,0.9,11.6,0.121,0.2,2.6
7,7,CHI,Wendell Carter Jr.,Duke,5,218,6086,2725,1939,453,0.513,0.304,0.74,27.9,12.5,8.9,2.1,14.8,0.117,-0.5,2.2
8,8,CLE,Collin Sexton,Alabama,5,245,7840,4743,727,800,0.46,0.377,0.828,32,19.4,3,3.3,7,0.043,-2.4,-0.8
9,9,NYK,Kevin Knox,Kentucky,5,235,4330,1772,677,181,0.375,0.343,0.709,18.4,7.5,2.9,0.8,0.2,0.002,-4.4,-2.7
10,10,PHI,Mikal Bridges,Villanova,5,337,10683,3927,1353,728,0.504,0.377,0.84,31.7,11.7,4,2.2,27.4,0.123,1.1,8.4
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,5,269,8649,5228,1208,1192,0.477,0.345,0.83,32.2,19.4,4.5,4.4,21.7,0.12,2.4,9.5
12,12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16,0.091,-0.2,3.8
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,4,141,3545,2026,859,153,0.511,0.421,0.796,25.1,14.4,6.1,1.1,10.6,0.143,1.8,3.3
15,15,WAS,Troy Brown Jr.,Oregon,5,245,4677,1573,940,373,0.429,0.333,0.772,19.1,6.4,3.8,1.5,5.4,0.055,-2.1,-0.2
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,5,222,5155,1935,1017,556,0.413,0.347,0.768,23.2,8.7,4.6,2.5,9.7,0.091,-0.2,2.3
18,18,SAS,Lonnie Walker IV,Miami (FL),5,232,4970,2328,548,366,0.423,0.351,0.789,21.4,10,2.4,1.6,3.2,0.031,-2.9,-1.1
19,19,ATL,Kevin Huerter,Maryland,5,300,8952,3523,1042,954,0.434,0.383,0.767,29.8,11.7,3.5,3.2,11.1,0.059,-1.2,1.9
20,20,MIN,Josh Okogie,Georgia Tech,5,268,5245,1642,769,300,0.403,0.274,0.756,19.6,6.1,2.9,1.1,5.9,0.054,-2.7,-1
21,21,UTA,Grayson Allen,Duke,5,216,4856,2072,577,348,0.437,0.396,0.856,22.5,9.6,2.7,1.6,10.3,0.102,-0.4,2
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,5,270,4911,1924,474,628,0.412,0.375,0.841,18.2,7.1,1.8,2.3,5.2,0.05,-2.3,-0.4
24,24,POR,Anfernee Simons,,5,237,5327,2759,536,536,0.43,0.392,0.847,22.5,11.6,2.3,2.3,6.1,0.055,-1.7,0.5
25,25,LAL,Moritz Wagner,Michigan,5,207,3250,1598,754,241,0.486,0.316,0.817,15.7,7.7,3.6,1.2,6.5,0.095,-1.5,0.4
26,26,PHI,Landry Shamet,Wichita State,5,281,6413,2489,491,450,0.41,0.389,0.836,22.8,8.9,1.7,1.6,11.1,0.083,-1.8,0.3
27,27,BOS,Robert Williams,Texas A&M,4,174,3460,1255,1155,249,0.728,0,0.665,19.9,7.2,6.6,1.4,18.4,0.255,5.3,6.3
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
29,29,BRK,Dzanan Musa,,2,49,526,211,91,45,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0,0.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,5,250,3853,1200,461,411,0.394,0.387,0.816,15.4,4.8,1.8,1.6,6.2,0.077,-0.8,1.2
33,33,DAL,Jalen Brunson,Villanova,5,305,7729,3858,935,1211,0.49,0.368,0.817,25.3,12.6,3.1,4,20.3,0.126,0.4,4.7
34,34,ATL,Devonte' Graham,Kansas,5,267,7120,3228,638,1259,0.372,0.358,0.826,26.7,12.1,2.4,4.7,11,0.074,-0.3,2.9
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10,-0.6
36,36,NYK,Mitchell Robinson,,5,250,5958,2088,1884,143,0.721,,0.535,23.8,8.4,7.5,0.6,26.9,0.217,2.3,6.5
37,37,SAC,Gary Trent Jr.,Duke,5,229,6476,3175,504,323,0.418,0.382,0.812,28.3,13.9,2.2,1.4,10.9,0.081,-0.9,1.8
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,5,194,3830,1138,1255,254,0.594,0.3,0.624,19.7,5.9,6.5,1.3,11.6,0.145,0.4,2.3
