Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
29,29,SAS,Keldon Johnson,Kentucky,4,187,5508,2860,1064,369,0.464,0.374,0.747,29.5,15.3,5.7,2,9.2,0.08,-1.2,1.1
30,30,MIL,Kevin Porter Jr.,USC,4,163,4803,2364,671,798,0.422,0.348,0.707,29.5,14.5,4.1,4.9,1.9,0.019,-2.4,-0.5
31,31,BRK,Nic Claxton,Georgia,4,120,2482,993,699,119,0.671,0.154,0.506,20.7,8.3,5.8,1,8.6,0.167,0.7,1.7
32,32,PHO,KZ Okpala,Stanford,4,81,871,210,138,43,0.415,0.284,0.676,10.8,2.6,1.7,0.5,1,0.057,-4.7,-0.6
33,33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5
34,34,PHI,Bruno Fernando,Maryland,4,129,1219,429,376,79,0.536,0.143,0.615,9.4,3.3,2.9,0.6,1.7,0.067,-3.3,-0.4
35,35,ATL,Didi Louzada,,2,12,185,43,20,8,0.326,0.355,1,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3
36,36,CHO,Cody Martin,Nevada,4,172,3619,989,604,360,0.46,0.323,0.66,21,5.8,3.5,2.1,6,0.079,-1.3,0.7
37,37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2
38,38,CHI,Daniel Gafford,Arkansas,4,198,3257,1456,870,132,0.696,0,0.646,16.4,7.4,4.4,0.7,12.7,0.187,1,2.5
39,39,NOP,Alen Smailagic,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1
40,40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2
41,41,GSW,Eric Paschall,Villanova,3,158,3085,1552,509,214,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5,0.078,-2.2,-0.1
42,42,PHI,Admiral Schofield,Tennessee,3,89,1058,318,165,53,0.411,0.324,0.784,11.9,3.6,1.9,0.6,0.8,0.037,-5,-0.8
43,43,MIN,Jaylen Nowell,Washington,4,147,2413,1286,310,269,0.442,0.334,0.806,16.4,8.7,2.1,1.8,4.2,0.083,-1.2,0.5
44,44,MIA,Bol Bol,Oregon,4,82,1107,511,277,52,0.565,0.407,0.744,13.5,6.2,3.4,0.6,2.1,0.091,0.3,0.6
45,45,DET,Isaiah Roby,Nebraska,4,132,2678,1097,625,208,0.491,0.363,0.684,20.3,8.3,4.7,1.6,4.3,0.077,-1.9,0.1
46,46,ORL,Talen Horton-Tucker,Iowa State,4,159,3366,1420,444,415,0.429,0.269,0.776,21.2,8.9,2.8,2.6,3.5,0.05,-2.3,-0.2
47,47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,0.416,0.315,0.686,13.1,5,1.9,0.9,0.4,0.024,-4.9,-0.6
48,48,LAC,Terance Mann,Florida State,4,218,4565,1680,831,417,0.497,0.373,0.779,20.9,7.7,3.8,1.9,11.6,0.122,-0.5,1.7
49,49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2
50,50,IND,Jarrell Brantley,College of Charleston,2,37,234,88,47,26,0.438,0.366,0.75,6.3,2.4,1.3,0.7,0.5,0.099,-0.6,0.1
51,51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3,-0.1
52,52,CHO,Jalen McDaniels,San Diego State,4,146,2849,1077,537,189,0.469,0.358,0.77,19.5,7.4,3.7,1.3,4.7,0.079,-2.4,-0.3
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1
54,54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1
55,55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,0.361,0.303,0.75,8.1,3.1,1,0.9,0.1,0.006,-4.9,-0.3
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2
58,58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1,0.07,-2.5,-0.1
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1
60,60,SAC,Vanja Marinkovic,,,,,,,,,,,,,,,,,,
