Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,3,107,3408,2737,752,370,0.605,0.328,0.689,31.9,25.6,7,3.5,13.9,0.196,5.2,6.2
2,2,MEM,Ja Morant,Murray State,4,209,6743,4571,981,1509,0.472,0.331,0.753,32.3,21.9,4.7,7.2,16.2,0.115,2.3,7.4
3,3,NYK,RJ Barrett,Duke,4,226,7583,4000,1259,651,0.417,0.349,0.709,33.6,17.7,5.6,2.9,6.7,0.043,-2.2,-0.3
4,4,LAL,De'Andre Hunter,Virginia,4,163,5005,2204,666,252,0.437,0.36,0.792,30.7,13.5,4.1,1.5,3.7,0.036,-3.5,-1.9
5,5,CLE,Darius Garland,Vanderbilt,4,204,6870,3623,520,1320,0.44,0.379,0.877,33.7,17.8,2.5,6.5,8.4,0.059,-0.9,1.9
6,6,PHO,Jarrett Culver,Texas Tech,4,143,2477,934,402,173,0.402,0.276,0.509,17.3,6.5,2.8,1.2,0,0,-4.5,-1.6
7,7,CHI,Coby White,UNC,4,214,5885,2816,741,716,0.413,0.363,0.846,27.5,13.2,3.5,3.3,6,0.049,-2.5,-0.7
8,8,ATL,Jaxson Hayes,Texas,4,204,3515,1585,848,139,0.626,0.321,0.721,17.2,7.8,4.2,0.7,12.4,0.169,0,1.7
9,9,WAS,Rui Hachimura,Gonzaga,4,163,4560,2098,843,234,0.477,0.358,0.775,28,12.9,5.2,1.4,5.5,0.058,-2.8,-1
10,10,ATL,Cam Reddish,Duke,4,153,3751,1567,456,190,0.393,0.323,0.844,24.5,10.2,3,1.2,1.7,0.022,-3,-1
11,11,MIN,Cameron Johnson,UNC,4,191,4624,2003,686,268,0.44,0.392,0.838,24.2,10.5,3.6,1.4,11.5,0.12,1.2,3.8
12,12,CHO,P.J. Washington,Kentucky,4,215,6374,2622,1203,497,0.446,0.366,0.715,29.6,12.2,5.6,2.3,8.6,0.065,-1.1,1.5
13,13,MIA,Tyler Herro,Kentucky,4,196,6019,3350,953,656,0.441,0.386,0.855,30.7,17.1,4.9,3.3,8.4,0.067,-0.3,2.7
14,14,BOS,Romeo Langford,Indiana,4,114,1741,458,232,62,0.417,0.286,0.647,15.3,4,2,0.5,1.8,0.05,-3,-0.4
15,15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8
16,16,ORL,Chuma Okeke,Auburn,3,133,3274,1052,604,245,0.388,0.323,0.802,24.6,7.9,4.5,1.8,4.1,0.06,-0.7,1.1
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,4,177,3341,1596,446,385,0.393,0.337,0.727,18.9,9,2.5,2.2,1.1,0.016,-2.4,-0.4
18,18,IND,Goga Bitadze,,4,165,1919,810,470,131,0.481,0.254,0.689,11.6,4.9,2.8,0.8,4.4,0.11,-1.2,0.4
19,19,SAS,Luka Samanic,,2,36,356,138,78,21,0.43,0.294,0.576,9.9,3.8,2.2,0.6,0.1,0.015,-4.8,-0.3
20,20,BOS,Matisse Thybulle,Washington,4,219,4547,993,410,226,0.447,0.323,0.648,20.8,4.5,1.9,1,9.2,0.097,0.9,3.4
21,21,OKC,Brandon Clarke,Gonzaga,4,208,4494,2241,1151,296,0.596,0.29,0.697,21.6,10.8,5.5,1.4,17.2,0.184,2.6,5.3
22,22,BOS,Grant Williams,Tennessee,4,237,4865,1393,757,257,0.466,0.385,0.783,20.5,5.9,3.2,1.1,10.1,0.099,-1.4,0.7
23,23,UTA,Darius Bazley,,4,206,5123,1964,1160,259,0.408,0.307,0.681,24.9,9.5,5.6,1.3,2.4,0.022,-2.5,-0.7
24,24,PHI,Ty Jerome,Virginia,4,125,2104,858,229,295,0.405,0.344,0.807,16.8,6.9,1.8,2.4,2.3,0.052,-1.9,0
25,25,POR,Nassir Little,UNC,4,159,2622,918,522,117,0.457,0.324,0.721,16.5,5.8,3.3,0.7,3.8,0.07,-2.2,-0.1
26,26,CLE,Dylan Windler,Belmont,2,81,972,271,196,67,0.412,0.32,0.8,12,3.3,2.4,0.8,1.3,0.063,-1.7,0.1
27,27,BRK,Mfiondu Kabengele,Florida State,3,52,352,139,75,19,0.39,0.31,0.84,6.8,2.7,1.4,0.4,0.4,0.058,-3.1,-0.1
28,28,GSW,Jordan Poole,Michigan,4,213,5368,3038,535,669,0.417,0.337,0.881,25.2,14.3,2.5,3.1,7.3,0.065,-1.6,0.5
