Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,Washington,6,139,3456,1507,451,661,0.451,0.273,0.71,24.9,10.8,3.2,4.8,3.6,0.051,-2,0
2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,32.5,11.9,5.7,6.2,11.4,0.067,1.1,6.3
3,3,BOS,Jayson Tatum,Duke,6,393,13220,8485,2651,1221,0.458,0.381,0.846,33.6,21.6,6.7,3.1,39,0.142,3,16.6
4,4,PHO,Josh Jackson,Kansas,5,291,6718,3276,1159,534,0.416,0.292,0.68,23.1,11.3,4,1.8,-1.7,-0.012,-3.8,-3.1
5,5,SAC,De'Aaron Fox,Kentucky,6,346,11093,6689,1257,2140,0.464,0.324,0.73,32.1,19.3,3.6,6.2,17.9,0.078,0.3,6.4
6,6,ORL,Jonathan Isaac,Florida State,3,136,3512,1269,741,146,0.435,0.33,0.797,25.8,9.3,5.4,1.1,6.7,0.091,0.2,2
7,7,MIN,Lauri Markkanen,Arizona,6,309,9301,4936,2137,413,0.45,0.368,0.847,30.1,16,6.9,1.3,19.8,0.102,0.2,5.2
8,8,NYK,Frank Ntilikina,,6,279,4898,1410,510,643,0.368,0.327,0.775,17.6,5.1,1.8,2.3,0.5,0.005,-4.1,-2.6
9,9,DAL,Dennis Smith Jr.,NC State,6,231,5571,2457,685,1002,0.405,0.313,0.649,24.1,10.6,3,4.3,0.1,0.001,-2.1,-0.2
10,10,SAC,Zach Collins,Gonzaga,5,199,3544,1245,865,248,0.46,0.323,0.738,17.8,6.3,4.3,1.2,5.4,0.073,-2.3,-0.2
11,11,CHO,Malik Monk,Kentucky,6,336,6917,3577,780,730,0.428,0.354,0.841,20.6,10.6,2.3,2.2,7,0.048,-1.6,0.6
12,12,DET,Luke Kennard,Duke,6,316,7388,3128,896,621,0.452,0.428,0.872,23.4,9.9,2.8,2,15.1,0.098,-0.3,3.2
13,13,DEN,Donovan Mitchell,Louisville,6,370,12554,8964,1532,1659,0.445,0.366,0.838,33.9,24.2,4.1,4.5,33.1,0.127,2.8,15.4
14,14,MIA,Bam Adebayo,Kentucky,6,370,10610,5174,3111,1278,0.554,0.133,0.75,28.7,14,8.4,3.5,37.7,0.17,2.7,12.6
15,15,POR,Justin Jackson,UNC,6,267,4841,1662,644,280,0.424,0.319,0.799,18.1,6.2,2.4,1,5.2,0.052,-2.9,-1.1
16,16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1
17,17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,0.419,0.327,0.618,12.3,4.4,3.1,0.7,2.8,0.075,-2.6,-0.3
18,18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1
19,19,ATL,John Collins,Wake Forest,6,315,9181,5108,2605,483,0.555,0.362,0.783,29.1,16.2,8.3,1.5,29.5,0.154,1.3,7.6
20,20,POR,Harry Giles,Duke,3,142,1835,832,543,174,0.511,0.258,0.671,12.9,5.9,3.8,1.2,3,0.079,-2.4,-0.2
21,21,OKC,Terrance Ferguson,,4,204,4000,924,263,144,0.404,0.334,0.753,19.6,4.5,1.3,0.7,4.4,0.053,-4,-2.1
22,22,BRK,Jarrett Allen,Texas,6,363,9785,4258,3190,498,0.625,0.184,0.702,27,11.7,8.8,1.4,37.9,0.186,1.8,9.3
23,23,TOR,OG Anunoby,Indiana,6,327,9013,3637,1398,484,0.471,0.368,0.732,27.6,11.1,4.3,1.5,19.4,0.103,0.2,5
24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1
25,25,ORL,Anzejs Pasecniks,,2,28,443,156,108,19,0.521,0,0.586,15.8,5.6,3.9,0.7,0.4,0.038,-6.2,-0.5
26,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7
27,27,BRK,Kyle Kuzma,Utah,6,370,11379,5936,2325,859,0.45,0.339,0.72,30.8,16,6.3,2.3,15.1,0.064,-1,2.8
28,28,LAL,Tony Bradley,UNC,6,174,1980,783,725,90,0.634,0.5,0.676,11.4,4.5,4.2,0.5,7.5,0.181,0.2,1.1
29,29,SAS,Derrick White,Colorado,6,292,7544,3322,944,1096,0.443,0.348,0.84,25.8,11.4,3.2,3.8,17.5,0.111,1.1,6
30,30,UTA,Josh Hart,Villanova,6,322,8983,3165,1918,719,0.452,0.347,0.738,27.9,9.8,6,2.2,17.8,0.095,-0.3,3.9
31,31,CHO,Frank Jackson,Duke,4,213,3868,1816,390,221,0.422,0.333,0.786,18.2,8.5,1.8,1,2.5,0.031,-3.9,-1.9
32,32,PHO,Davon Reed,Miami (FL),4,98,1158,335,181,78,0.411,0.386,0.703,11.8,3.4,1.8,0.8,1.2,0.05,-3.2,-0.3
33,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8
