Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
34,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3
35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1
36,36,PHI,Jonah Bolden,,2,51,686,217,174,40,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,0.384,0.344,0.717,14.5,3.4,2.2,0.4,5.2,0.061,-3.4,-1.5
38,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1
39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1
41,41,ATL,Tyler Dorsey,Oregon,3,106,1679,710,245,135,0.392,0.351,0.669,15.8,6.7,2.3,1.3,1.1,0.032,-3,-0.4
42,42,UTA,Thomas Bryant,Indiana,6,183,3613,1844,1024,227,0.595,0.348,0.76,19.7,10.1,5.6,1.2,12.6,0.167,1.6,3.3
43,43,HOU,Isaiah Hartenstein,,5,193,2842,1137,845,271,0.59,0.343,0.695,14.7,5.9,4.4,1.4,10.4,0.175,1.5,2.5
44,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9
45,45,HOU,Dillon Brooks,Oregon,6,296,8423,4380,918,617,0.42,0.348,0.795,28.5,14.8,3.1,2.1,6.1,0.035,-3.7,-3.7
46,46,PHI,Sterling Brown,SMU,5,264,4434,1431,883,266,0.42,0.364,0.796,16.8,5.4,3.3,1,6.5,0.071,-2.1,-0.1
47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0
48,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5
49,49,DEN,Vlatko Cancar,,4,88,708,244,120,51,0.477,0.365,0.763,8,2.8,1.4,0.6,1.1,0.073,-2.3,0
50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,Iowa State,6,304,7736,3183,736,1168,0.479,0.393,0.823,25.4,10.5,2.4,3.8,19.9,0.124,0.3,4.4
52,52,NOP,Edmond Sumner,Xavier,5,132,1893,802,203,147,0.472,0.323,0.776,14.3,6.1,1.5,1.1,2.6,0.066,-2.9,-0.4
53,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1
54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0
55,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0
56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0
57,57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2
60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,
