Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,DET,Cade Cunningham,Oklahoma State,2,76,2488,1353,428,428,0.416,0.309,0.844,32.7,17.8,5.6,5.6,-0.5,-0.01,-1.5,0.3
2,2,HOU,Jalen Green,,2,94,3070,1745,338,280,0.423,0.337,0.801,32.7,18.6,3.6,3,1.5,0.024,-2.6,-0.5
3,3,CLE,Evan Mobley,USC,2,98,3331,1471,842,251,0.522,0.246,0.673,34,15,8.6,2.6,8.6,0.124,1,2.5
4,4,TOR,Scottie Barnes,Florida State,2,99,3456,1495,732,376,0.482,0.311,0.73,34.9,15.1,7.4,3.8,7.7,0.107,0.6,2.3
5,5,ORL,Jalen Suggs,Gonzaga,2,62,1712,737,217,285,0.374,0.235,0.753,27.6,11.9,3.5,4.6,-1.6,-0.044,-4.9,-1.2
6,6,OKC,Josh Giddey,,2,79,2473,1045,619,481,0.431,0.278,0.718,31.3,13.2,7.8,6.1,0.7,0.014,-1.2,0.5
7,7,GSW,Jonathan Kuminga,,2,95,1622,836,314,94,0.505,0.323,0.687,17.1,8.8,3.3,1,3.4,0.102,-2.2,-0.1
8,8,ORL,Franz Wagner,Michigan,2,108,3401,1775,475,336,0.475,0.351,0.864,31.5,16.4,4.4,3.1,6,0.084,-0.7,1.2
9,9,SAC,Davion Mitchell,Baylor,2,102,2607,1031,212,379,0.421,0.311,0.667,25.6,10.1,2.1,3.7,0.4,0.007,-3.7,-1.1
10,10,NOP,Ziaire Williams,Stanford,2,65,1402,511,142,70,0.44,0.302,0.789,21.6,7.9,2.2,1.1,2.1,0.071,-3.4,-0.5
11,11,CHO,James Bouknight,UConn,2,52,637,250,98,52,0.344,0.294,0.792,12.3,4.8,1.9,1,-0.2,-0.019,-6.7,-0.8
12,12,SAS,Joshua Primo,Alabama,2,54,1058,316,126,99,0.372,0.302,0.75,19.6,5.9,2.3,1.8,-0.1,-0.005,-5.1,-0.8
13,13,IND,Chris Duarte,Oregon,2,64,1718,800,245,123,0.428,0.365,0.815,26.8,12.5,3.8,1.9,1,0.027,-2.5,-0.2
14,14,GSW,Moses Moody,Arkansas,2,76,963,349,123,41,0.44,0.371,0.797,12.7,4.6,1.6,0.5,1.6,0.079,-2.8,-0.2
