Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,Kentucky,8,503,17181,11606,5637,1597,0.527,0.393,0.835,34.2,23.1,11.2,3.2,68.2,0.191,4.7,29.2
2,2,LAL,D'Angelo Russell,Ohio State,8,451,13334,7953,1587,2541,0.422,0.356,0.782,29.6,17.6,3.5,5.6,15.8,0.057,0.5,8.5
3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0
4,4,NYK,Kristaps Porzingis,,7,364,11264,6980,2888,607,0.446,0.353,0.818,30.9,19.2,7.9,1.7,30,0.128,1.8,10.8
5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2
6,6,SAC,Willie Cauley-Stein,Kentucky,7,422,9276,3675,2470,598,0.544,0.188,0.612,22,8.7,5.9,1.4,23.3,0.121,-0.1,4.4
7,7,DEN,Emmanuel Mudiay,,6,302,7187,3299,884,1143,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2
8,8,DET,Stanley Johnson,Arizona,8,420,8414,2634,1310,614,0.384,0.3,0.754,20,6.3,3.1,1.5,6.2,0.035,-2.8,-1.7
9,9,CHO,Frank Kaminsky,Wisconsin,8,389,8012,3575,1543,628,0.43,0.349,0.745,20.6,9.2,4,1.6,15.5,0.093,-0.3,3.4
10,10,MIA,Justise Winslow,Duke,8,340,8821,2811,1746,883,0.413,0.315,0.638,25.9,8.3,5.1,2.6,8.6,0.047,-2.1,-0.2
11,11,IND,Myles Turner,Texas,8,454,13057,5890,3056,547,0.493,0.355,0.77,28.8,13,6.7,1.2,35.2,0.129,0.8,9.1
12,12,UTA,Trey Lyles,Kentucky,8,471,8521,3630,2016,493,0.439,0.338,0.737,18.1,7.7,4.3,1,14.8,0.083,-1.1,1.9
13,13,PHO,Devin Booker,Kentucky,8,503,16992,11929,1989,2380,0.458,0.358,0.87,33.8,23.7,4,4.7,33.2,0.094,0.7,11.7
14,14,OKC,Cameron Payne,Murray State,8,305,5639,2462,686,1044,0.42,0.366,0.819,18.5,8.1,2.2,3.4,9.2,0.078,-0.4,2.3
15,15,ATL,Kelly Oubre Jr.,Kansas,8,507,12992,6359,2223,518,0.434,0.33,0.746,25.6,12.5,4.4,1,19,0.07,-1.7,0.9
16,16,BOS,Terry Rozier,Louisville,8,497,13184,6486,1963,1619,0.416,0.372,0.822,26.5,13.1,3.9,3.3,24.2,0.088,0.5,8.2
17,17,MIL,Rashad Vaughn,UNLV,3,139,1671,423,158,75,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2
18,18,HOU,Sam Dekker,Wisconsin,5,201,3097,1094,607,160,0.478,0.288,0.606,15.4,5.4,3,0.8,5.4,0.083,-1.4,0.5
19,19,WAS,Jerian Grant,Notre Dame,5,279,4998,1692,530,805,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5
20,20,TOR,Delon Wright,Utah,8,415,8668,2978,1328,1259,0.453,0.353,0.797,20.9,7.2,3.2,3,23,0.128,2.2,9.1
21,21,DAL,Justin Anderson,Virginia,6,242,3280,1284,621,184,0.41,0.292,0.775,13.6,5.3,2.6,0.8,4.9,0.072,-1.5,0.4
22,22,CHI,Bobby Portis,Arkansas,8,480,10552,5399,3273,594,0.472,0.378,0.753,22,11.2,6.8,1.2,23.6,0.107,-0.5,4.2
23,23,POR,Rondae Hollis-Jefferson,Arizona,6,305,6759,2760,1684,579,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3
24,24,CLE,Tyus Jones,Duke,8,482,9020,3092,859,1822,0.436,0.356,0.81,18.7,6.4,1.8,3.8,21,0.112,0.4,5.6
25,25,MEM,Jarell Martin,LSU,4,184,2927,998,639,114,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7
26,26,SAS,Nikola Milutinov,,,,,,,,,,,,,,,,,,
27,27,LAL,Larry Nance Jr.,Wyoming,8,421,10103,3441,2719,796,0.535,0.335,0.693,24,8.2,6.5,1.9,26.9,0.128,1.2,8.1
28,28,BOS,R.J. Hunter,Georgia State University,4,45,395,133,46,19,0.371,0.295,0.818,8.8,3,1,0.4,0.4,0.051,-2,0
29,29,BRK,Chris McCullough,Syracuse,3,59,532,194,112,15,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1
30,30,GSW,Kevon Looney,UCLA,8,396,6677,1903,1969,577,0.574,0.172,0.606,16.9,4.8,5,1.5,23.2,0.167,0,3.4
31,31,MIN,Cedi Osman,,6,355,8646,3519,1138,744,0.424,0.348,0.717,24.4,9.9,3.2,2.1,8.4,0.047,-2.3,-0.8
32,32,HOU,Montrezl Harrell,Louisville,8,481,10132,6012,2495,657,0.618,0.117,0.663,21.1,12.5,5.2,1.4,41.5,0.197,2.7,12.1
33,33,BOS,Jordan Mickey,LSU,3,64,482,152,128,17,0.449,0.118,0.605,7.5,2.4,2,0.3,0.5,0.05,-4.8,-0.3
34,34,LAL,Anthony Brown,Stanford,3,41,762,161,103,28,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6
35,35,PHI,Willy Hernangomez,,7,318,4797,2323,1843,338,0.533,0.304,0.707,15.1,7.3,5.8,1.1,15,0.15,0.1,2.5
36,36,MIN,Rakeem Christmas,Syracuse,2,30,225,63,57,4,0.467,,0.724,7.5,2.1,1.9,0.1,0.5,0.105,-4.7,-0.2
37,37,PHI,Richaun Holmes,Bowling Green,8,391,8060,3653,2195,403,0.606,0.263,0.745,20.6,9.3,5.6,1,26.9,0.16,0.4,4.8
38,38,DET,Darrun Hilliard,Villanova,3,91,859,295,85,71,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6
39,39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,,,,
40,40,MIA,Josh Richardson,Tennessee,8,459,13520,5494,1427,1233,0.427,0.365,0.84,29.5,12,3.1,2.7,24,0.085,-0.6,4.9
41,41,BRK,Pat Connaughton,Notre Dame,8,428,7935,2546,1432,529,0.44,0.36,0.798,18.5,5.9,3.3,1.2,18.2,0.11,-0.1,3.8
42,42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,UCLA,8,443,9979,5102,1152,658,0.463,0.384,0.827,22.5,11.5,2.6,1.5,20.4,0.098,-0.2,4.6
47,47,PHI,Arturas Gudaitis,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Diez,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0
57,57,DEN,Nikola Radicevic,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovic,,,,,,,,,,,,,,,,,,
