Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,12.6,4.4,3.1,0.5,0.5,0.013,-4.8,-1.3
2,2,ORL,Victor Oladipo,Indiana,10,467,15254,8097,2132,1838,0.438,0.348,0.789,32.7,17.3,4.6,3.9,25.2,0.079,0.9,11
3,3,WAS,Otto Porter Jr.,Georgetown,10,512,13226,5380,2570,775,0.478,0.397,0.797,25.8,10.5,5,1.5,36.5,0.132,1.8,12.6
4,4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,22.2,8.5,6,1.4,32.1,0.14,-0.6,4
5,5,PHO,Alex Len,Maryland,10,578,10794,4382,3350,491,0.507,0.329,0.683,18.7,7.6,5.8,0.8,21.7,0.097,-1.9,0.2
6,6,NOH,Nerlens Noel,Kentucky,9,456,10148,3314,2808,494,0.547,0.154,0.655,22.3,7.3,6.2,1.1,28.3,0.134,0.9,7.5
7,7,SAC,Ben McLemore,Kansas,9,556,12534,5015,1269,563,0.414,0.363,0.78,22.5,9,2.3,1,9,0.035,-3.1,-3.4
8,8,DET,Kentavious Caldwell-Pope,Georgia,10,709,20783,8197,2228,1206,0.422,0.363,0.812,29.3,11.6,3.1,1.7,35.9,0.083,-0.8,6.1
9,9,MIN,Trey Burke,Michigan,9,498,10401,4792,878,1522,0.41,0.345,0.81,20.9,9.6,1.8,3.1,12.9,0.06,-1.3,1.7
10,10,POR,CJ McCollum,Lehigh,10,613,19422,11740,2154,2174,0.453,0.393,0.809,31.7,19.2,3.5,3.5,41.2,0.102,1.2,15.9
11,11,PHI,Michael Carter-Williams,Syracuse,8,391,9898,4023,1713,1701,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9
12,12,OKC,Steven Adams,Pitt,10,688,18451,6348,5555,1038,0.588,0.067,0.539,26.8,9.2,8.1,1.5,57.5,0.15,0.5,11.6
13,13,DAL,Kelly Olynyk,Gonzaga,10,640,14261,6534,3238,1346,0.479,0.369,0.786,22.3,10.2,5.1,2.1,37.8,0.127,1,10.6
14,14,UTA,Shabazz Muhammad,UCLA,5,278,4772,2504,770,151,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0
15,15,MIL,Giannis Antetokounmpo,,10,679,22114,15036,6410,3143,0.535,0.287,0.713,32.6,22.1,9.4,4.6,90.7,0.197,6.1,45.1
16,16,BOS,Lucas Nogueira,,4,141,1754,446,388,72,0.632,0.265,0.64,12.4,3.2,2.8,0.5,6,0.165,2.3,1.9
17,17,ATL,Dennis Schroder,,10,634,16782,8914,1853,2953,0.435,0.336,0.835,26.5,14.1,2.9,4.7,23.7,0.068,-1.3,3.1
18,18,ATL,Shane Larkin,Miami (FL),4,256,4880,1399,490,737,0.422,0.336,0.777,19.1,5.5,1.9,2.9,4.4,0.044,-2.4,-0.6
19,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,0.395,0.282,0.842,11.7,3,1.5,0.9,0.8,0.036,-3.4,-0.4
20,20,CHI,Tony Snell,New Mexico,9,601,13093,3672,1371,669,0.431,0.394,0.846,21.8,6.1,2.3,1.1,18.5,0.068,-2,-0.1
21,21,UTA,Gorgui Dieng,Louisville,10,609,12408,4518,3466,806,0.499,0.362,0.791,20.4,7.4,5.7,1.3,30.8,0.119,0.3,7.3
22,22,BRK,Mason Plumlee,Duke,10,689,15555,5753,4647,1725,0.584,0.049,0.557,22.6,8.3,6.7,2.5,46.3,0.143,1.2,12.7
23,23,IND,Solomon Hill,Arizona,9,448,9652,2453,1399,662,0.388,0.331,0.797,21.5,5.5,3.1,1.5,11.9,0.059,-2.1,-0.3
24,24,NYK,Tim Hardaway Jr.,Michigan,10,613,16527,8498,1721,1141,0.42,0.358,0.811,27,13.9,2.8,1.9,26.5,0.077,-0.8,4.9
25,25,LAC,Reggie Bullock,UNC,10,461,10503,3521,1177,547,0.424,0.381,0.833,22.8,7.6,2.6,1.2,18.5,0.085,-1,2.6
26,26,MIN,Andre Roberson,Colorado,7,307,6801,1382,1230,265,0.473,0.253,0.468,22.2,4.5,4,0.9,12.6,0.089,-0.6,2.3
27,27,DEN,Rudy Gobert,,10,637,19109,7958,7435,830,0.653,0,0.641,30,12.5,11.7,1.3,89.7,0.225,3.8,28.2
28,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin,Kentucky,4,165,2396,1040,331,206,0.429,0.236,0.7,14.5,6.3,2,1.2,1.1,0.022,-3,-0.6
30,30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,0.205,0.167,0.875,5.9,1.1,0.6,0.5,-0.4,-0.132,-10,-0.3
31,31,CLE,Allen Crabbe,California,7,381,9125,3453,1073,434,0.425,0.387,0.831,24,9.1,2.8,1.1,13.7,0.072,-1.6,0.9
32,32,OKC,Alex Abrines,,3,174,2777,924,248,88,0.387,0.368,0.88,16,5.3,1.4,0.5,5,0.086,-1.9,0.1
33,33,CLE,Carrick Felix,Arizona State,1,7,38,19,6,4,0.5,0.4,0.75,5.4,2.7,0.9,0.6,0,0.057,-3.4,0
34,34,HOU,Isaiah Canaan,Murray State,6,235,4799,1913,438,454,0.371,0.351,0.836,20.4,8.1,1.9,1.9,4.3,0.043,-2.4,-0.5
35,35,PHI,Glen Rice Jr.,Georgia Tech,2,16,152,43,24,9,0.269,0.25,0.692,9.5,2.7,1.5,0.6,-0.2,-0.065,-6.6,-0.2
